iter	Passed	Remaining
0	139	139533
1	142	71323
2	145	48349
3	148	36889
4	150	30040
5	153	25446
6	156	22210
7	159	19748
8	162	17841
9	164	16319
10	166	15008
11	169	13921
12	171	12988
13	173	12195
14	175	11518
15	177	10934
16	179	10387
17	181	9915
18	183	9486
19	185	9104
20	187	8754
21	189	8441
22	192	8155
23	193	7888
24	195	7643
25	197	7412
26	200	7219
27	202	7035
28	204	6852
29	206	6683
30	208	6520
31	210	6373
32	213	6249
33	216	6150
34	218	6021
35	220	5904
36	222	5801
37	225	5698
38	227	5599
39	229	5505
40	231	5411
41	233	5329
42	235	5244
43	237	5170
44	240	5096
45	242	5025
46	244	4962
47	247	4902
48	249	4838
49	251	4776
50	253	4717
51	255	4653
52	257	4602
53	259	4546
54	261	4498
55	263	4447
56	266	4404
57	268	4354
58	269	4301
59	271	4252
60	272	4201
61	274	4152
62	276	4108
63	277	4062
64	279	4017
65	280	3974
66	282	3931
67	283	3880
68	284	3845
69	286	3810
70	288	3779
71	290	3744
72	292	3711
73	294	3679
74	295	3645
75	297	3611
76	299	3586
77	300	3554
78	302	3525
79	303	3494
80	305	3464
81	306	3436
82	308	3408
83	310	3386
84	311	3357
85	313	3331
86	314	3301
87	316	3278
88	318	3255
89	319	3232
90	321	3210
91	323	3189
92	325	3171
93	326	3150
94	328	3129
95	330	3108
96	331	3089
97	333	3070
98	335	3050
99	336	3032
100	338	3015
101	339	2990
102	341	2971
103	342	2952
104	344	2934
105	345	2916
106	347	2898
107	348	2880
108	350	2863
109	351	2847
110	353	2833
111	355	2817
112	356	2801
113	358	2785
114	359	2769
115	361	2751
116	362	2736
117	364	2721
118	365	2703
119	367	2693
120	369	2683
121	371	2672
122	372	2653
123	373	2639
124	375	2626
125	376	2613
126	378	2600
127	379	2586
128	381	2575
129	382	2562
130	384	2550
131	386	2538
132	387	2527
133	389	2515
134	390	2503
135	392	2491
136	394	2482
137	395	2469
138	396	2458
139	398	2448
140	400	2437
141	401	2426
142	403	2415
143	404	2405
144	406	2394
145	407	2385
146	409	2375
147	410	2365
148	412	2355
149	414	2346
150	415	2337
151	417	2327
152	418	2318
153	420	2310
154	422	2305
155	424	2299
156	427	2292
157	428	2285
158	430	2278
159	432	2272
160	435	2267
161	437	2261
162	439	2254
163	441	2248
164	443	2244
165	445	2238
166	447	2231
167	451	2234
168	454	2237
169	458	2238
170	461	2237
171	467	2250
172	472	2257
173	475	2256
174	478	2257
